forecast_origin,pickup_hour,pickup_zone_name,lead_hour,baseline_forecast,improved_forecast
2026-04-01,2026-04-01 14:00:00,Midtown Center,15,395.8269230769231,344.5503492963226
2026-04-01,2026-04-01 14:00:00,Upper East Side North,15,385.6923076923077,328.8752113507599
2026-04-01,2026-04-01 14:00:00,Penn Station/Madison Sq West,15,181.96153846153845,193.5005280519484
2026-04-01,2026-04-01 14:00:00,Midtown East,15,255.8846153846154,240.28018051446992
2026-04-01,2026-04-01 14:00:00,Times Sq/Theatre District,15,185.1153846153846,175.98065877587635
2026-04-01,2026-04-01 14:00:00,Lincoln Square East,15,217.05769230769232,194.67628081667522
2026-04-01,2026-04-01 14:00:00,LaGuardia Airport,15,266.3269230769231,143.78025671367016
2026-04-01,2026-04-01 14:00:00,Murray Hill,15,222.5,199.15498061334247
2026-04-01,2026-04-01 15:00:00,Upper East Side South,16,486.46153846153845,437.93823914586767
2026-04-01,2026-04-01 15:00:00,JFK Airport,16,336.0,300.8021810266069
2026-04-01,2026-04-01 15:00:00,Midtown Center,16,412.6923076923077,365.6480637562408
2026-04-01,2026-04-01 15:00:00,Upper East Side North,16,453.36538461538464,341.1712719687503
2026-04-01,2026-04-01 15:00:00,Penn Station/Madison Sq West,16,189.23076923076923,195.08435152069018
2026-04-01,2026-04-01 15:00:00,Midtown East,16,259.3076923076923,251.35791519530844
2026-04-01,2026-04-01 15:00:00,Times Sq/Theatre District,16,209.17307692307693,191.08775426722082
2026-04-01,2026-04-01 15:00:00,Lincoln Square East,16,220.01923076923077,204.80892442207718
2026-04-01,2026-04-01 15:00:00,LaGuardia Airport,16,248.23076923076923,182.14474627642366
2026-04-01,2026-04-01 15:00:00,Murray Hill,16,227.46153846153845,202.9907202090533
2026-04-01,2026-04-01 16:00:00,Upper East Side South,17,463.5769230769231,427.6553454207814
2026-04-01,2026-04-01 16:00:00,JFK Airport,17,391.46153846153845,352.55987505404556
2026-04-01,2026-04-01 16:00:00,Midtown Center,17,474.7307692307692,422.02933336064416
2026-04-01,2026-04-01 16:00:00,Upper East Side North,17,388.61538461538464,330.39712824026225
2026-04-01,2026-04-01 16:00:00,Penn Station/Madison Sq West,17,201.01923076923077,188.5425459454768
2026-04-01,2026-04-01 16:00:00,Midtown East,17,307.40384615384613,280.75741977897854
2026-04-01,2026-04-01 16:00:00,Times Sq/Theatre District,17,294.53846153846155,222.8481711895663
2026-04-01,2026-04-01 16:00:00,Lincoln Square East,17,226.34615384615384,182.78895265119462
2026-04-01,2026-04-01 16:00:00,LaGuardia Airport,17,217.42307692307693,176.22710489157419
2026-04-01,2026-04-01 16:00:00,Murray Hill,17,245.19230769230768,209.75405429515865
2026-04-01,2026-04-01 17:00:00,Upper East Side South,18,502.2692307692308,437.78847945027735
2026-04-01,2026-04-01 17:00:00,JFK Airport,18,345.4230769230769,335.19069076962177
2026-04-01,2026-04-01 17:00:00,Midtown Center,18,557.8653846153846,497.7223225937052
2026-04-01,2026-04-01 17:00:00,Upper East Side North,18,425.1730769230769,342.7819104883634
2026-04-01,2026-04-01 17:00:00,Penn Station/Madison Sq West,18,235.84615384615384,200.49743443680234
2026-04-01,2026-04-01 17:00:00,Midtown East,18,412.5,353.031509695704
2026-04-01,2026-04-01 17:00:00,Times Sq/Theatre District,18,306.59615384615387,252.38368600722285
2026-04-01,2026-04-01 17:00:00,Lincoln Square East,18,262.61538461538464,209.1874676885968
2026-04-01,2026-04-01 17:00:00,LaGuardia Airport,18,193.26923076923077,172.65159324317736
2026-04-01,2026-04-01 17:00:00,Murray Hill,18,292.13461538461536,248.70905111345763
2026-04-01,2026-04-01 18:00:00,Upper East Side South,19,523.0961538461538,425.537514631785
2026-04-01,2026-04-01 18:00:00,JFK Airport,19,312.9423076923077,318.12771687499185
2026-04-01,2026-04-01 18:00:00,Midtown Center,19,589.0769230769231,557.1941135293173
2026-04-01,2026-04-01 18:00:00,Upper East Side North,19,430.5576923076923,317.8064071625418
2026-04-01,2026-04-01 18:00:00,Penn Station/Madison Sq West,19,245.01923076923077,199.12195636155198
2026-04-01,2026-04-01 18:00:00,Midtown East,19,436.2692307692308,367.1685806793211
2026-04-01,2026-04-01 18:00:00,Times Sq/Theatre District,19,317.5769230769231,271.26425585522514
2026-04-01,2026-04-01 18:00:00,Lincoln Square East,19,289.6923076923077,243.4845531337502
2026-04-01,2026-04-01 18:00:00,LaGuardia Airport,19,191.73076923076923,169.49899585914469
2026-04-01,2026-04-01 18:00:00,Murray Hill,19,312.1730769230769,270.4643052096088
2026-04-01,2026-04-01 19:00:00,Upper East Side South,20,436.15384615384613,342.7016578892035
2026-04-01,2026-04-01 19:00:00,JFK Airport,20,328.78846153846155,323.5288873882397
2026-04-01,2026-04-01 19:00:00,Midtown Center,20,567.1730769230769,534.7022922206872
2026-04-01,2026-04-01 19:00:00,Upper East Side North,20,301.34615384615387,238.36487446941507
2026-04-01,2026-04-01 19:00:00,Penn Station/Madison Sq West,20,222.53846153846155,199.47206118075678
2026-04-01,2026-04-01 19:00:00,Midtown East,20,378.28846153846155,344.36143359535083
2026-04-01,2026-04-01 19:00:00,Times Sq/Theatre District,20,288.6923076923077,258.335146569121
2026-04-01,2026-04-01 19:00:00,Lincoln Square East,20,247.5,206.3767240352503
2026-04-01,2026-04-01 19:00:00,LaGuardia Airport,20,206.69230769230768,179.79737433614147
2026-04-01,2026-04-01 19:00:00,Murray Hill,20,284.09615384615387,238.2502965784595
2026-04-01,2026-04-01 20:00:00,Upper East Side South,21,387.63461538461536,306.5007746845878
2026-04-01,2026-04-01 20:00:00,JFK Airport,21,352.4423076923077,343.2249799690709
2026-04-01,2026-04-01 20:00:00,Midtown Center,21,610.2307692307693,542.5595034726362
2026-04-01,2026-04-01 20:00:00,Upper East Side North,21,241.1346153846154,200.87441744657949
2026-04-01,2026-04-01 20:00:00,Penn Station/Madison Sq West,21,205.1346153846154,181.66133735016828
2026-04-01,2026-04-01 20:00:00,Midtown East,21,375.61538461538464,324.44999481311925
2026-04-01,2026-04-01 20:00:00,Times Sq/Theatre District,21,330.09615384615387,310.56335142940975
2026-04-01,2026-04-01 20:00:00,Lincoln Square East,21,248.1346153846154,216.24283024580134
2026-04-01,2026-04-01 20:00:00,LaGuardia Airport,21,203.8653846153846,163.78543102978634
2026-04-01,2026-04-01 20:00:00,Murray Hill,21,256.28846153846155,223.66245563545195
2026-04-01,2026-04-01 21:00:00,Upper East Side South,22,401.34615384615387,320.8862782539947
2026-04-01,2026-04-01 21:00:00,JFK Airport,22,334.5769230769231,329.94514938928245
2026-04-01,2026-04-01 21:00:00,Midtown Center,22,594.3269230769231,584.976405347494
2026-04-01,2026-04-01 21:00:00,Upper East Side North,22,202.65384615384616,167.87758803229002
2026-04-01,2026-04-01 21:00:00,Penn Station/Madison Sq West,22,220.71153846153845,191.91382076028074
2026-04-01,2026-04-01 21:00:00,Midtown East,22,347.5769230769231,284.14163986951036
2026-04-01,2026-04-01 21:00:00,Times Sq/Theatre District,22,446.1923076923077,466.94924867867684
2026-04-01,2026-04-01 21:00:00,Lincoln Square East,22,338.0,290.4402988791183
2026-04-01,2026-04-01 21:00:00,LaGuardia Airport,22,219.23076923076923,160.67869672110916
2026-04-01,2026-04-01 21:00:00,Murray Hill,22,245.07692307692307,209.25317325548983
2026-04-01,2026-04-01 22:00:00,Upper East Side South,23,274.86538461538464,225.06144964733366
2026-04-01,2026-04-01 22:00:00,JFK Airport,23,320.71153846153845,316.25476197692916
2026-04-01,2026-04-01 22:00:00,Midtown Center,23,441.59615384615387,402.8111483972604
